registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
LOZ09P,434000,114760,2023,Recharge T6 Plus Bright/Google/Akustik rutor/Läder/Panorma/Drag,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/loz09p/,2026-01-13
HXW02B,644900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/hxw02b/,2026-01-13
DKW46A,329900,117920,2020,"T5 AWD Momentum Advanced SE II, Navigation",Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dkw46a/,2026-01-13
NLX32G,549500,35000,2023,Recharge T6 Ultimate Bright,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nlx32g/,2026-01-13
YWY521,319900,143150,2018,,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,408 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ywy521/,2026-01-13
OFB50K,653900,0,2026,Ny T6 Plus Dark Nordic Edition,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGSBACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ofb50k/,2026-01-13
BZB350,199000,173940,2016,D4 AWD Ocean Race Business E PRO/Läder/Värmare/Panorama,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/bzb350/,2026-01-13
MDL830,219900,150670,2016,D4 AWD Summum Business E PRO | Drag | Kamrem bytt |,Grå,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/mdl830/,2026-01-13
FXL46D,619900,42090,2024,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/fxl46d/,2026-01-13
ZFZ53G,449000,79650,2024,Recharge T6 Core Edition / Google / Kamera / Sensorer / VOC,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zfz53g/,2026-01-13
ZNA608,629900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zna608/,2026-01-13
CJE15G,485000,75920,2022,Recharge T8 II R-Design *SE SPEC* STORA BATTERIET,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/cje15g/,2026-01-13
LLX93A,279500,155110,2020,T4 Momentum Edition,Blå,Bensin,Framhjulsdrift,,Automat,190 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/llx93a/,2026-01-13
YNR02R,669900,0,2025,Ny T6 Core Bright Finns för snabb lev*Kampanjrabatt,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÖDERTÄLJE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ynr02r/,2026-01-13
TDF17A,314900,171890,2021,Recharge T6 Inscr Expression T,Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/tdf17a/,2026-01-13
WUN18G,324900,124320,2021,B4 AWD Diesel Momentum Adv SE 197hk Teknikpkt Navi H/K Drag,Grå,Diesel,Fyrhjulsdrift,,Automat,197 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wun18g/,2026-01-13
