Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
RCY47B,449000,460593,2.5,8188,2022,44600,252.0,T6,Plugin Hybrid,AWD,Recharge T6 AWD Inscr Expression//Kamera//Google//
OXS248,394900,405091,2.5,240,2021,78010,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription | Drag | Pano | BLIS
DBW51B,569900,584513,2.5,15289,2024,50120,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark
PLM264,219800,225428,2.5,4827,2017,154210,190.0,D4,Diesel,AWD,D4 AWD Classic Momentum DRAGKROK
NCT96M,409500,419713,2.4,10827,2023,103090,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition | Drag | Nya sommardäck |
DJB09Z,629900,645426,2.4,18890,2026,4410,349.0,T6,Plugin Hybrid,AWD,T6 Plus Black Nordic Edition
JPZ15T,479900,491130,2.3,23921,2023,101020,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Plus Bright
TDT51S,444900,455079,2.2,8967,2023,68950,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
WJE500,389500,398201,2.2,10208,2022,101160,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Inscription | Läder | Klimatpaket | Nya Sommardäck |
TSL119,159900,163442,2.2,4283,2015,200810,329.0,T6,Petrol,AWD,
RCD11M,729000,744841,2.1,1532,2026,4610,455.0,T8,Plugin Hybrid,AWD,T8 Plus Dark Nordic Edition Luftfjädring Bowers Vent säten
ASF07J,459900,469698,2.1,6479,2023,55740,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright
EKF96R,359000,366629,2.1,-2409,2021,118920,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription T
GZA36X,636900,650287,2.1,17457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
RCN57A,529900,540889,2.0,15307,2023,59670,455.0,T8,Plugin Hybrid,AWD,"Recharge T8 Plus Dark, Dragkrok"
HFX78K,549900,561181,2.0,16312,2025,15380,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
WOJ70J,335800,342542,2.0,5079,2021,96630,197.0,B4,Mild Hybrid,FWD,B4 Diesel Momentum Advanced SE/Kamera/BLIS/Värmare
CLG84H,449900,458922,2.0,3373,2022,49000,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Drag H/K 360Kamera Pano
KXS51A,459000,468113,1.9,7135,2022,36690,252.0,T6,Plugin Hybrid,AWD,Recharge T6 II Inscr Expression
XBJ349,239500,244185,1.9,10028,2017,123600,190.0,D4,Diesel,AWD,D4 AWD Classic Summum
TWK66P,489900,499462,1.9,14513,2022,76850,455.0,T8,Plugin Hybrid,AWD,"Recharge T8 II R-Design, H/K, 360 kamera, Dynamisk LED"
EDY75R,509900,519749,1.9,14161,2022,57360,391.0,T8,Plugin Hybrid,AWD,Recharge T8 R-Design
LAL20M,269900,275055,1.9,6321,2019,182000,190.0,D4,Diesel,AWD,D4 AWD Momentum Advanced SE
LBE941,339500,345919,1.9,13635,2019,127600,303.0,T8,Plugin Hybrid,FWD,Momentum T8
JRH68H,239000,243373,1.8,20422,2020,240390,190.0,D4,Diesel,AWD,R-Design D4
SEU642,229900,233912,1.7,5758,2017,140200,190.0,D4,Diesel,AWD,D4 AWD Classic Momentum
PHC24B,389000,395675,1.7,3313,2022,71400,341.0,T6,Plugin Hybrid,FWD,Recharge Inscription Expression T6
SRP40F,469900,477867,1.7,5312,2023,47670,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ORB03Y,634700,644774,1.6,13352,2026,5000,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition Demobil
UNE59W,309800,314629,1.5,-700,2020,153410,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt(DRAGKROK/RATTVÄRME/ELLUCKA)
YKM61J,449900,456909,1.5,1096,2022,51070,341.0,T6,Plugin Hybrid,AWD,Recharge T6 R-Design
HDW00R,408000,413913,1.4,7176,2023,108700,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
BEZ888,368800,373910,1.4,15951,2018,46030,250.0,T5,Petrol,AWD,T5 II AWD Inscription
